"","state","postal","clintonVotes","clintonElectors","trumpVotes","trumpElectors","johnsonVotes","steinVotes","mcmullinVotes","othersVotes","totalVotes","population2010","electors2016","electorsPerCitizen","electorsPerVoter","voterTurnout","marginOfVictory","marginOfVictoryPercent","thirdParty"
"1","Alabama","AL",729547,0,1318255,9,44467,9391,0,21712,2123372,4780127,9,1.8827951642289,4.23854133896463,0.44420828149545,588708,0.277251466064354,75570
"2","Alaska","AK",116454,0,163387,3,18725,5735,0,14307,318608,710249,3,4.223870783345,9.41595942349219,0.448586340846661,46933,0.147306407874253,38767
"3","Arizona","AZ",1161167,0,1252401,11,106327,34345,0,0,2554240,6392307,11,1.72081847758564,4.30656477073415,0.399580308017121,91234,0.0357186482084691,140672
"4","Arkansas","AR",380494,0,684782,6,29829,9473,13255,12712,1130635,2915958,6,2.05764280555481,5.30675240019989,0.387740495576411,304288,0.269130179058671,65269
"5","California","CA",8696374,55,4452094,0,474615,275823,0,65507,13964413,37254503,55,1.47633159943108,3.93858302529437,0.374838257807385,4244280,0.303935439319934,815945
"6","Colorado","CO",1338870,9,1202484,0,144121,38437,28917,27391,2780220,5029324,9,1.78950491159448,3.23715389429614,0.552801927257023,136386,0.0490558301141636,238866
"7","Connecticut","CT",897572,7,673215,0,48676,22841,2108,508,1644920,3574118,7,1.95852515221937,4.25552610461299,0.460231027626956,224357,0.136393867178951,74133
"8","Delaware","DE",235603,3,185127,0,14757,6103,0,0,441590,897936,3,3.34099534933447,6.79363210217623,0.49178337877087,50476,0.114305124663149,20860
"9","District of Columbia","DC",282830,3,12723,0,4906,4258,0,7858,312575,601767,3,4.98531823778971,9.59769655282732,0.519428616059039,270107,0.864135007598176,17022
"10","Florida","FL",4504975,0,4617886,29,207043,64399,0,25736,9420039,18804623,29,1.54217396434909,3.0785435177073,0.500942720308724,112911,0.0119862561078569,297178
"11","Georgia","GA",1877963,0,2089104,16,125306,0,0,0,4092373,9688681,16,1.65141158017278,3.90971204237737,0.422387010161652,211141,0.051593781896225,125306
"12","Hawaii","HI",266891,4,128847,0,15954,12737,0,13235,437664,1360301,4,2.94052566307016,9.13943116180449,0.321740555950485,138044,0.315410908825035,41926
"13","Idaho","ID",189765,0,409055,4,28331,8496,46476,8132,690255,1567652,4,2.551586704192,5.79495983368465,0.440311370125513,219290,0.317694185482177,91435
"14","Illinois","IL",3090729,20,2146015,0,209596,76802,11655,0,5536424,12831549,20,1.55865827266841,3.61244008768115,0.431469653429995,944714,0.17063613624968,298053
"15","Indiana","IN",1039126,0,1557286,11,133993,7841,0,2712,2740958,6484229,11,1.69642373827328,4.01319538643058,0.422711474255459,518160,0.189043392857534,144546
"16","Iowa","IA",653669,0,800983,6,59186,11479,12366,28348,1566031,3046869,6,1.96923464710823,3.83134178059055,0.513980417274258,147314,0.0940683805109861,111379
"17","Kansas","KS",427005,0,671018,6,55406,23506,6520,947,1184402,2853132,6,2.10295212419194,5.06584757540092,0.41512345029953,244013,0.206022110736051,86379
"18","Kentucky","KY",628854,0,1202971,8,53752,13913,22780,1879,1924149,4339349,8,1.84359451152696,4.15768217534089,0.443418816970011,574117,0.298374502182523,92324
"19","Louisiana","LA",780154,0,1178638,8,37978,14031,8547,9684,2029032,4533479,8,1.76464918002267,3.94276679717225,0.44756620687997,398484,0.196391185550548,70240
"20","Maine","ME",352156,3,332418,1,37578,13995,0,0,736147,1328361,4,3.01122962809056,5.43369734577469,0.554176914257495,19738,0.0268125795527252,51573
"21","Maryland","MD",1677926,10,943169,0,79605,35945,9330,35511,2781485,5773785,10,1.73196611927877,3.59520184361951,0.481743778128212,734757,0.264159972101234,160391
"22","Massachusetts","MA",1995196,11,1090893,0,138018,47661,2719,71,3274487,6547817,11,1.67994921055369,3.35930483156598,0.50008835005621,904303,0.276166312463601,188469
"23","Michigan","MI",2268839,0,2279543,16,172136,51463,8177,19126,4799284,9884129,16,1.61875669570885,3.3338306297356,0.485554569350521,10704,0.00223033269129312,250902
"24","Minnesota","MN",1367716,10,1322951,0,112972,36985,53076,51113,2944813,5303925,10,1.88539619244239,3.39580136327842,0.555213921765485,44765,0.0152013048027158,254146
"25","Mississippi","MS",462127,0,678284,6,14411,3595,0,0,1158417,2968103,6,2.02149318942099,5.17948200000518,0.390288679334915,216157,0.186596881779187,18006
"26","Missouri","MO",1054889,0,1585753,10,96404,25086,1372,0,2763504,5988927,10,1.66974818694567,3.61859436425639,0.461435579361712,530864,0.192098147858661,122862
"27","Montana","MT",177709,0,279240,3,28037,7970,0,1570,494526,989417,3,3.03208859358592,6.06641511265333,0.49981554794389,101531,0.205309730934268,37577
"28","Nebraska","NE",283322,0,494881,5,38746,8696,0,0,825645,1826341,5,2.73771436987945,6.05587147018392,0.452076036183823,211559,0.256234822472128,47442
"29","Nevada","NV",539260,6,512058,0,37384,0,0,36683,1125385,2700691,6,2.22165364345643,5.33150877255339,0.41670261425687,27202,0.0241712836051662,74067
"30","New Hampshire","NH",348526,4,345790,0,30777,6496,1064,9232,741885,1316466,4,3.03843775684294,5.39167121588925,0.563542848808856,2736,0.00368790311166825,47569
"31","New Jersey","NJ",1967444,14,1509688,0,72143,37131,0,0,3586406,8791936,14,1.59236827929594,3.90362942734314,0.407919939362616,457756,0.127636413724492,109274
"32","New Mexico","NM",385234,5,319666,0,74541,9879,5825,3173,798318,2059192,5,2.42813686144857,6.26316831137467,0.38768507259158,65568,0.0821326839680428,93418
"33","New York","NY",4145376,29,2638135,0,162273,100110,0,0,7045894,19378087,29,1.49653575195529,4.1158723080421,0.363601112947836,1507241,0.213917637705024,262383
"34","North Carolina","NC",2189350,0,2362697,15,130134,12093,0,47391,4741665,9535692,15,1.57303738417726,3.16344575165053,0.497254420549657,173347,0.0365582553807576,189618
"35","North Dakota","ND",93758,0,216794,3,21434,3780,0,8594,344360,672591,3,4.46036298433967,8.71181321872459,0.511990199095736,123036,0.357288883726333,33808
"36","Ohio","OH",2394164,0,2841005,18,174498,46271,12574,0,5468512,11536725,18,1.56023481533971,3.29157182063421,0.474009045027943,446841,0.0817116246613338,233343
"37","Oklahoma","OK",420375,0,949136,7,83481,0,0,0,1452992,3751616,7,1.86586260427506,4.81764524512179,0.387297633872976,528761,0.363911845350835,83481
"38","Oregon","OR",991580,7,774080,0,93875,49247,0,0,1908782,3831073,7,1.82716434795161,3.66726006427135,0.498236916915966,217500,0.11394700913986,143122
"39","Pennsylvania","PA",2926025,0,2970146,20,146667,49941,0,0,6092779,12702887,20,1.57444524225084,3.2825743392301,0.47963734543179,44121,0.00724152312105855,196608
"40","Rhode Island","RI",227062,4,166454,0,14700,6171,0,0,414387,1052931,4,3.79891939737742,9.65281246757258,0.393555703080259,60608,0.14625941450866,20871
