postal,state,clintonVotes,clintonElectors,trumpVotes,trumpElectors,johnsonVotes,steinVotes,mcmullinVotes,othersVotes,totalVotes,population2010,electors2016,electorsPerCitizen,electorsPerVoter,voterTurnout,marginOfVictory,marginOfVictoryPercent,thirdParty,clintonExpGeneral,clintonExpPrimary,trumpExpGeneral,trumpExpPrimary,trumpExpTotal,clintonExpTotal
AK,Alaska,116454,0,163387,3,18725,5735,0,14307,318608,710249,3,4.223870783344996,9.415959423492192,0.4485863408466608,46933,0.147306407874253,38767,NA,NA,NA,NA,20244.87,26231.93
AL,Alabama,729547,0,1318255,9,44467,9391,0,21712,2123372,4780127,9,1.8827951642289,4.2385413389646285,0.44420828149544983,588708,0.27725146606435425,75570,NA,NA,NA,NA,480333.44,2593726.8
AR,Arkansas,380494,0,684782,6,29829,9473,13255,12712,1130635,2915958,6,2.0576428055548126,5.306752400199888,0.3877404955764109,304288,0.2691301790586706,65269,NA,NA,NA,NA,170702.77,16330085.39
AZ,Arizona,1161167,0,1252401,11,106327,34345,0,0,2554240,6392307,11,1.7208184775856352,4.306564770734152,0.3995803080171212,91234,0.03571864820846905,140672,NA,NA,NA,NA,3390908.38,223297.48
CA,California,8696374,55,4452094,0,474615,275823,0,65507,13964413,37254503,55,1.4763315994310808,3.9385830252943683,0.37483825780738506,4244280,0.30393543931993416,815945,NA,NA,NA,NA,9120311.4,16483404.29
CO,Colorado,1338870,9,1202484,0,144121,38437,28917,27391,2780220,5029324,9,1.7895049115944806,3.237153894296135,0.552801927257023,136386,0.049055830114163625,238866,NA,NA,NA,NA,2826557.7,5041103.68
CT,Connecticut,897572,7,673215,0,48676,22841,2108,508,1644920,3574118,7,1.9585251522193727,4.25552610461299,0.4602310276269558,224357,0.13639386717895094,74133,NA,NA,NA,NA,1130005.13,11191768.11
DC,District of Columbia,282830,3,12723,0,4906,4258,0,7858,312575,601767,3,4.985318237789709,9.59769655282732,0.5194286160590394,270107,0.8641350075981764,17022,NA,NA,NA,NA,7098908.49,353040899.81
DE,Delaware,235603,3,185127,0,14757,6103,0,0,441590,897936,3,3.3409953493344737,6.793632102176227,0.4917833787708701,50476,0.11430512466314907,20860,NA,NA,NA,NA,278676.67,54498.8
FL,Florida,4504975,0,4617886,29,207043,64399,0,25736,9420039,18804623,29,1.5421739643490857,3.078543517707305,0.5009427203087241,112911,0.011986256107856879,297178,NA,NA,NA,NA,14989158.4,12454571.84
GA,Georgia,1877963,0,2089104,16,125306,0,0,0,4092373,9688681,16,1.6514115801727811,3.9097120423773686,0.42238701016165153,211141,0.051593781896225,125306,NA,NA,NA,NA,2806733.65,2204171.56
HI,Hawaii,266891,4,128847,0,15954,12737,0,13235,437664,1360301,4,2.9405256630701584,9.13943116180449,0.3217405559504845,138044,0.31541090882503475,41926,NA,NA,NA,NA,15242.75,50931.01
IA,Iowa,653669,0,800983,6,59186,11479,12366,28348,1566031,3046869,6,1.969234647108228,3.83134178059055,0.5139804172742576,147314,0.09406838051098605,111379,NA,NA,NA,NA,2642951.56,3169482.79
ID,Idaho,189765,0,409055,4,28331,8496,46476,8132,690255,1567652,4,2.551586704192002,5.794959833684652,0.4403113701255125,219290,0.31769418548217687,91435,NA,NA,NA,NA,50818.39,27643.04
IL,Illinois,3090729,20,2146015,0,209596,76802,11655,0,5536424,12831549,20,1.558658272668405,3.6124400876811458,0.4314696534299951,944714,0.1706361362496803,298053,NA,NA,NA,NA,1302899.16,6558355.87
IN,Indiana,1039126,0,1557286,11,133993,7841,0,2712,2740958,6484229,11,1.696423738273278,4.013195386430584,0.4227114742554589,518160,0.18904339285753374,144546,NA,NA,NA,NA,1352609.79,174010.59
