state,postal,clintonVotes,clintonElectors,trumpVotes,trumpElectors,johnsonVotes,steinVotes,mcmullinVotes,othersVotes,totalVotes
Alabama,AL,729547,0,1318255,9,44467,9391,0,21712,2123372
Alaska,AK,116454,0,163387,3,18725,5735,0,14307,318608
Arizona,AZ,1161167,0,1252401,11,106327,34345,0,0,2554240
Arkansas,AR,380494,0,684782,6,29829,9473,13255,12712,1130635
California,CA,8696374,55,4452094,0,474615,275823,0,65507,13964413
Colorado,CO,1338870,9,1202484,0,144121,38437,28917,27391,2780220
Connecticut,CT,897572,7,673215,0,48676,22841,2108,508,1644920
Delaware,DE,235603,3,185127,0,14757,6103,0,0,441590
District of Columbia,DC,282830,3,12723,0,4906,4258,0,7858,312575
Florida,FL,4504975,0,4617886,29,207043,64399,0,25736,9420039
Georgia,GA,1877963,0,2089104,16,125306,0,0,0,4092373
Hawaii,HI,266891,4,128847,0,15954,12737,0,13235,437664
Idaho,ID,189765,0,409055,4,28331,8496,46476,8132,690255
Illinois,IL,3090729,20,2146015,0,209596,76802,11655,0,5536424
Indiana,IN,1039126,0,1557286,11,133993,7841,0,2712,2740958
Iowa,IA,653669,0,800983,6,59186,11479,12366,28348,1566031
Kansas,KS,427005,0,671018,6,55406,23506,6520,947,1184402
Kentucky,KY,628854,0,1202971,8,53752,13913,22780,1879,1924149
Louisiana,LA,780154,0,1178638,8,37978,14031,8547,9684,2029032
Maine,ME,352156,3,332418,1,37578,13995,0,0,736147
Maryland,MD,1677926,10,943169,0,79605,35945,9330,35511,2781485
Massachusetts,MA,1995196,11,1090893,0,138018,47661,2719,71,3274487
Michigan,MI,2268839,0,2279543,16,172136,51463,8177,19126,4799284
Minnesota,MN,1367716,10,1322951,0,112972,36985,53076,51113,2944813
Mississippi,MS,462127,0,678284,6,14411,3595,0,0,1158417
Missouri,MO,1054889,0,1585753,10,96404,25086,1372,0,2763504
Montana,MT,177709,0,279240,3,28037,7970,0,1570,494526
Nebraska,NE,283322,0,494881,5,38746,8696,0,0,825645
Nevada,NV,539260,6,512058,0,37384,0,0,36683,1125385
New Hampshire,NH,348526,4,345790,0,30777,6496,1064,9232,741885
New Jersey,NJ,1967444,14,1509688,0,72143,37131,0,0,3586406
New Mexico,NM,385234,5,319666,0,74541,9879,5825,3173,798318
New York,NY,4145376,29,2638135,0,162273,100110,0,0,7045894
North Carolina,NC,2189350,0,2362697,15,130134,12093,0,47391,4741665
North Dakota,ND,93758,0,216794,3,21434,3780,0,8594,344360
Ohio,OH,2394164,0,2841005,18,174498,46271,12574,0,5468512
Oklahoma,OK,420375,0,949136,7,83481,0,0,0,1452992
Oregon,OR,991580,7,774080,0,93875,49247,0,0,1908782
Pennsylvania,PA,2926025,0,2970146,20,146667,49941,0,0,6092779
Rhode Island,RI,227062,4,166454,0,14700,6171,0,0,414387
South Carolina,SC,855373,0,1155389,9,49204,13034,21016,9011,2103027
South Dakota,SD,117442,0,227701,3,20845,0,0,0,365988
Tennessee,TN,868853,0,1519926,11,70286,15952,0,0,2475017
Texas,TX,3877868,0,4685047,38,283492,71558,42366,8895,8969226
Utah,UT,310674,0,515211,6,39608,9438,243685,0,1118616
Vermont,VT,178573,3,95369,0,10078,6758,629,29060,320467
Virginia,VA,1981473,13,1769443,0,118274,27638,54054,31870,3982752
Washington,WA,1742718,12,1221747,0,160879,58417,0,0,3183761
West Virginia,WV,188794,0,489371,5,23004,8075,0,0,713051
Wisconsin,WI,1381823,0,1404000,10,106585,31006,0,0,2975313
Wyoming,WY,55973,0,174419,3,13287,2515,0,9655,258788
