CMTE_ID,CMTE_NM,CMTE_ST1,CMTE_ST2,CMTE_CITY,CMTE_ST,CMTE_ZIP,CAND_ID,CAND_NM,RPT_YR,RPT_TP,TERM_RPT_FLAG,AMNDT_IND,RECEIPT_DT,CVG_START_DT,CVG_END_DT,RPT_PGI,COH_BOP,TTL_RECEIPTS_SUM_PAGE_PER,SUBTTL_SUM_PAGE_PER,TTL_DISB_SUM_PAGE_PER,COH_COP,DEBTS_OWED_TO_CMTE,DEBTS_OWED_BY_CMTE,EXP_SUBJECT_LIMITS,NET_CONTB_SUM_PAGE_PER,NET_OP_EXP_SUM_PAGE_PER,FED_FUNDS_PER,INDV_CONTB_PER,POL_PTY_CMTE_CONTB_PER,OTHER_POL_CMTE_CONTB_PER,CAND_CONTB_PER,TTL_CONTB_PER,TRANF_FROM_AFFILATED_CMTE_PER,LOANS_RECEIVED_FROM_CAND_PER,OTHER_LOANS_RECEIVED_PER,TTL_LOANS_RECEIVED_PER,OFFSETS_TO_OP_EXP_PER,OFFSETS_TO_FNDRSG_EXP_PER,OFFSETS_TO_LEGAL_ACCTG_PER,TTL_OFFSETS_TO_OP_EXP_PER,OTHER_RECEIPTS_PER,TTL_RECEIPTS_PER,OP_EXP_PER,TRANF_TO_OTHER_AUTH_CMTE_PER,FNDRSG_DISB_PER,EXEMPT_LEGAL_ACCTG_DISB_PER,REPYMTS_LOANS_MADE_BY_CAND_PER,REPYMTS_OTHER_LOANS_PER,TTL_LOAN_REPYMTS_MADE_PER,REF_INDV_CONTB_PER,REF_POL_PTY_CMTE_CONTB_PER,REF_OTHER_POL_CMTE_CONTB_PER,TTL_CONTB_REF_PER,OTHER_DISB_PER,TTL_DISB_PER,ITEMS_ON_HAND_LIQUIDATED,TTL_PER,FED_FUNDS_YTD,INDV_CONTB_YTD,POL_PTY_CMTE_CONTB_YTD,OTHER_POL_CMTE_CONTB_YTD,CAND_CONTB_YTD,TTL_CONTB_YTD,TRANF_FROM_AFFILIATED_CMTE_YTD,LOANS_RECEIVED_FROM_CAND_YTD,OTHER_LOANS_RECEIVED_YTD,TTL_LOANS_RECEIVED_YTD,OFFSETS_TO_OP_EXP_YTD,OFFSETS_TO_FNDRSG_EXP_YTD,OFFSETS_TO_LEGAL_ACCTG_YTD,TTL_OFFSETS_TO_OP_EXP_YTD,OTHER_RECEIPTS_YTD,TTL_RECEIPTS_YTD,OP_EXP_YTD,TRANF_TO_OTHER_AUTH_CMTE_YTD,FNDRSG_DISB_YTD,EXEMPT_LEGAL_ACCTG_DISB_YTD,REPYMTS_LOANS_MADE_CAND_YTD,REPYMTS_OTHER_LOANS_YTD,TTL_LOAN_REPYMTS_MADE_YTD,REF_INDV_CONTB_YTD,REF_POL_PTY_CMTE_CONTB_YTD,REF_OTHER_POL_CMTE_CONTB_YTD,TTL_CONTB_REF_YTD,OTHER_DISB_YTD,TTL_DISB_YTD,TTL_YTD,TRES_SIGN_NM,TRES_SIGN_DT,FILE_NUM
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M8",,A,20-AUG-16,01-JUL-16,31-JUL-16,,44361029.7,52289039.21,96650068.91,38178136.81,58471932.1,0,490632.09,0,261570972.45,256850956.93,0,31225016.68,638.89,147569.54,121574.57,31494799.68,19800000,0,0,0,982685.91,0,0,982685.91,11553.62,52289039.21,37847775.03,0,0,0,0,0,0,330361.78,0,0,330361.78,0,38178136.81,0,0,0,262384675.97,1638.89,1487187.86,1118733.72,264992236.44,53740000,0,0,0,8055729.92,0,0,8055729.92,44417.58,326832383.94,264906686.85,0,0,0,0,0,0,3416763.99,0,4500,3421263.99,32501,268360451.84,0,"VILLARREAL, JOSE H.",17-OCT-16,1109498
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"30G",,N,08-DEC-16,20-OCT-16,28-NOV-16,G2016,62440979.49,70189899.17,132630878.66,131792229.31,838649.35,0,0,0,403023290.59,562923302.36,0,47373380.44,802.89,101071.23,99703.2,47574957.76,19460000,0,0,0,3146574.22,0,0,3146574.22,8367.19,70189899.17,130734566.1,0,0,0,0,0,0,1007663.21,0,0,1007663.21,50000,131792229.31,0,0,0,405635419.27,14764.3,1786657.94,1450335.21,408887176.72,160000000,0,0,0,12096517.76,0,0,12096517.76,71162.12,581054856.6,559190408.47,0,0,0,0,0,0,5606529.88,0,8450,5614979.88,82501,564887889.35,0,"VILLARREAL, JOSE H.",08-DEC-16,1133832
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2015,"Q2",,A,15-JUL-15,01-APR-15,30-JUN-15,,0,47549949.64,47549949.64,18699814.02,28850135.62,0,574147.67,0,47053723.88,18203538.26,0,46938582.3,0,332396.25,278821.09,47549799.64,0,0,0,0,150,0,0,150,0,47549949.64,18203688.26,0,0,0,0,0,0,495075.76,0,1000,496075.76,50,18699814.02,0,0,0,46938582.3,0,332396.25,278821.09,47549799.64,0,0,0,0,150,0,0,150,0,47549949.64,18203688.26,0,0,0,0,0,0,495075.76,0,1000,496075.76,50,18699814.02,0,"VILLARREAL, JOSE H.",03-SEP-15,1024052
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M9",,A,20-SEP-16,01-AUG-16,31-AUG-16,,58471932.1,59517712.02,117989644.12,49560367.34,68429276.78,0,214311.13,0,288097038.22,304828517.22,0,26898591.92,7862.84,76218.44,80340.98,27063014.18,31400000,0,0,0,1045858.64,0,0,1045858.64,8839.2,59517712.02,49023418.93,0,0,0,0,0,0,536698.41,0,250,536948.41,0,49560367.34,0,0,0,289283267.89,9501.73,1563406.3,1199074.7,292055250.62,85140000,0,0,0,9101588.56,0,0,9101588.56,53256.78,386350095.96,313930105.78,0,0,0,0,0,0,3953462.4,0,4750,3958212.4,32501,317920819.18,0,"VILLARREAL, JOSE H.",23-NOV-16,1126762
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M7",,A,20-JUL-16,01-JUN-16,30-JUN-16,,42465635.99,36361795.58,78827431.57,34466401.87,44361029.7,0,144099.98,0,230406534.55,219985867.81,0,23667075.23,0,67795.87,97735.8,23832606.9,11500000,0,0,0,1025126.72,0,0,1025126.72,4061.96,36361795.58,34198656.58,0,0,0,0,0,0,267745.29,0,0,267745.29,0,34466401.87,0,0,0,231159659.29,1000,1339618.32,997159.15,233497436.76,33940000,0,0,0,7073044.01,0,0,7073044.01,32863.96,274543344.73,227058911.82,0,0,0,0,0,0,3086402.21,0,4500,3090902.21,32501,230182315.03,0,"VILLARREAL, JOSE H.",18-SEP-16,1099613
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M4",,A,20-APR-16,01-MAR-16,31-MAR-16,,30832968.5,26834436.03,57667404.53,28694882.43,28972522.1,0,953048.57,0,167454161.77,151181385.6,0,22359282.98,0,64994.01,128271.18,22552548.17,3750000,0,0,0,529342.26,0,0,529342.26,2545.6,26834436.03,28405372.88,0,0,0,0,0,0,288009.55,0,1500,289509.55,0,28694882.43,0,0,0,167770970.62,1000,1099309.61,689254.18,169560534.41,12690000,0,0,0,4470287.6,0,0,4470287.6,22246.93,186743068.94,155651673.2,0,0,0,0,0,0,2101872.64,0,4500,2106372.64,12501,157770546.84,0,"VILLARREAL, JOSE H.",05-JUL-16,1081062
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M10",,N,20-OCT-16,01-SEP-16,30-SEP-16,,68429276.78,73824345.27,142253622.05,82589319.97,59664302.08,0,626094.77,0,328759367.86,385715359.71,0,40997689.33,3787.34,53713.61,101077.41,41156267.69,31450000,0,0,0,1208539.43,0,0,1208539.43,9538.15,73824345.27,82103811.16,0,0,0,0,0,0,484108.81,0,1400,485508.81,0,82589319.97,0,0,0,330275720.79,12889.07,1614327.1,1300152.11,333203089.07,116590000,0,0,0,10310127.99,0,0,10310127.99,62794.93,460166011.99,396025487.7,0,0,0,0,0,0,4437571.21,0,6150,4443721.21,32501,400501709.91,0,"VILLARREAL, JOSE H.",20-OCT-16,1112134
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M2",,A,20-FEB-16,01-JAN-16,31-JAN-16,,37977647.61,14880547.69,52858195.3,19919631.55,32938563.75,0,1056361.42,0,121911460.83,93419002.61,0,13163717.03,0,56859.19,99889.78,13320466,1200000,0,0,0,357537.34,0,0,357537.34,2544.35,14880547.69,19738623.74,0,0,0,0,0,0,180347.81,0,0,180347.81,660,19919631.55,0,0,0,122095946.64,1000,949141.47,468036.7,123514124.81,4440000,0,0,0,2478242.16,0,0,2478242.16,17320.53,130449687.5,95897244.77,0,0,0,0,0,0,1599663.98,0,3000,1602663.98,11215,97511123.75,0,"VILLARREAL, JOSE H.",05-JUL-16,1081057
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M3",,A,20-MAR-16,01-FEB-16,29-FEB-16,,32938563.75,29458945.41,62397509.16,31564540.66,30832968.5,0,923628.74,0,145191123.15,123305354.98,0,23315741,0,85174.13,92946.3,23493861.43,4500000,0,0,0,1462703.18,0,0,1462703.18,2380.8,29458945.41,31349055.55,0,0,0,0,0,0,214199.11,0,0,214199.11,1286,31564540.66,0,0,0,145411687.64,1000,1034315.6,560983,147007986.24,8940000,0,0,0,3940945.34,0,0,3940945.34,19701.33,159908632.91,127246300.32,0,0,0,0,0,0,1813863.09,0,3000,1816863.09,12501,129075664.41,0,"VILLARREAL, JOSE H.",11-AUG-16,1093618
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M5",,A,20-MAY-16,01-APR-16,30-APR-16,,28972522.1,25047649.29,54020171.39,23859389.18,30160782.21,0,585702.63,0,187548827.83,174075255.66,0,20202467.46,0,93997.57,107308.25,20403773.28,4000000,0,0,0,641411.9,0,0,641411.9,2464.11,25047649.29,23535281.96,0,0,0,0,0,0,309107.22,0,0,309107.22,15000,23859389.18,0,0,0,187973438.08,1000,1193307.18,796562.43,189964307.69,16690000,0,0,0,5111699.5,0,0,5111699.5,24711.04,211790718.23,179186955.16,0,0,0,0,0,0,2410979.86,0,4500,2415479.86,27501,181629936.02,0,"VILLARREAL, JOSE H.",30-JUL-16,1091718
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"12G",,N,27-OCT-16,01-OCT-16,19-OCT-16,G2016,59664302.08,52838211.51,112502513.59,50061534.1,62440979.49,0,111237.9,0,356455996.04,435335310.48,0,28001271.81,1072.34,71259.61,50479.9,28124083.66,24700000,0,0,0,14127.85,0,0,14127.85,0,52838211.51,49634078.62,0,0,0,0,0,0,425155.48,0,2300,427455.48,0,50061534.1,0,0,0,358276992.6,13961.41,1685586.71,1350632.01,361327172.73,141290000,0,0,0,10324255.84,0,0,10324255.84,62794.93,513004223.5,445659566.32,0,0,0,0,0,0,4862726.69,0,8450,4871176.69,32501,450563244.01,0,"VILLARREAL, JOSE H.",27-OCT-16,1119042
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2015,"YE",,A,31-JAN-16,01-OCT-15,31-DEC-15,,32995172.39,38093440.26,71088612.65,33110965.04,37977647.61,0,978863.24,0,108771342.64,74037916.21,0,32854373.71,1000,249726.03,89325.83,33194425.57,3240000,0,0,0,1649910.69,0,0,1649910.69,9104,38093440.26,32627843.33,0,0,0,0,0,0,472666.71,0,0,472666.71,10455,33110965.04,0,0,0,108932229.61,1000,892282.28,368146.92,110193658.81,3240000,0,0,0,2120704.82,0,0,2120704.82,14776.18,115569139.81,76158621.03,0,0,0,0,0,0,1419316.17,0,3000,1422316.17,10555,77591492.2,0,"VILLARREAL, JOSE H.",05-JUL-16,1081052
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","10185","P00003392","CLINTON, HILLARY RODHAM",2016,"M6",,A,20-JUN-16,01-MAY-16,31-MAY-16,,30160782.21,26390830.92,56551613.13,14085977.14,42465635.99,0,1168389.38,0,206841672.94,186812337.95,0,19519145.98,0,78515.27,102860.92,19700522.17,5750000,0,0,0,936217.79,0,0,936217.79,4090.96,26390830.92,13673300.08,0,0,0,0,0,0,407677.06,0,0,407677.06,5000,14085977.14,0,0,0,207492584.06,1000,1271822.45,899423.35,209664829.86,22440000,0,0,0,6047917.29,0,0,6047917.29,28802,238181549.15,192860255.24,0,0,0,0,0,0,2818656.92,0,4500,2823156.92,32501,195715913.16,0,"VILLARREAL, JOSE H.",30-JUL-16,1091720
C00575795,"HILLARY FOR AMERICA","P.O. BOX 5256","","NEW YORK","NY","101855256","P00003392","CLINTON, HILLARY RODHAM",2015,"Q3",,A,15-OCT-15,01-JUL-15,30-SEP-15,,28850135.62,29925749.91,58775885.53,25780713.14,32995172.39,0,647245.1,0,76049583.78,43059983.57,0,29139273.6,0,310160,0,29449433.6,0,0,0,0,470644.13,0,0,470644.13,5672.18,29925749.91,25327089.44,0,0,0,0,0,0,451573.7,0,2000,453573.7,50,25780713.14,0,0,0,76077855.9,0,642556.25,278821.09,76999233.24,0,0,0,0,470794.13,0,0,470794.13,5672.18,77475699.55,43530777.7,0,0,0,0,0,0,946649.46,0,3000,949649.46,100,44480527.16,0,"VILLARREAL, JOSE H.",05-JUL-16,1081046
C00605568,"GARY JOHNSON 2016","10 WEST BROADWAY STE 202","","SALT LAKE CITY","UT","84101","P20002671","JOHNSON, GARY",2016,"M5",,A,20-MAY-16,01-APR-16,30-APR-16,,35031.95,69713.47,104745.42,89821.14,14924.28,0,0,333746.08,348670.36,333746.08,0,69713.47,0,0,0,69713.47,0,0,0,0,0,0,0,0,0,69713.47,89821.14,0,0,0,0,0,0,0,0,0,0,0,89821.14,0,0,0,348670.36,0,0,0,348670.36,0,0,0,0,0,0,0,0,0,348670.36,333746.08,0,0,0,0,0,0,0,0,0,0,0,333746.08,0,"MCCAULEY, MIKE",20-JUN-16,1079137
C00605568,"GARY JOHNSON 2016","10 WEST BROADWAY STE 202","","SALT LAKE CITY","UT","84101","P20002671","JOHNSON, GARY",2016,"M3",,A,20-MAR-16,01-FEB-16,29-FEB-16,,23247.77,56265.15,79512.92,60371.14,19141.78,0,0,130219.55,149361.33,130219.55,0,56265.15,0,0,0,56265.15,0,0,0,0,0,0,0,0,0,56265.15,60371.14,0,0,0,0,0,0,0,0,0,0,0,60371.14,0,0,0,149361.33,0,0,0,149361.33,0,0,0,0,0,0,0,0,0,149361.33,130219.55,0,0,0,0,0,0,0,0,0,0,0,130219.55,0,"MCCAULEY, MIKE",20-JUN-16,1079119
C00605568,"GARY JOHNSON 2016","10 WEST BROADWAY STE 202","","SALT LAKE CITY","UT","84101","P20002671","JOHNSON, GARY",2016,"M6",,N,20-JUN-16,01-MAY-16,31-MAY-16,,14924.28,350561.42,365485.7,189911.39,175574.31,0,0,523657.47,699231.78,523657.47,0,350561.42,0,0,0,350561.42,0,0,0,0,0,0,0,0,0,350561.42,189911.39,0,0,0,0,0,0,0,0,0,0,0,189911.39,0,0,0,699231.78,0,0,0,699231.78,0,0,0,0,0,0,0,0,0,699231.78,523657.47,0,0,0,0,0,0,0,0,0,0,0,523657.47,0,"MCCAULEY, MIKE",20-JUN-16,1079473
C00605568,"GARY JOHNSON 2016","10 WEST BROADWAY STE 202","","SALT LAKE CITY","UT","84101","P20002671","JOHNSON, GARY",2016,"M9",,N,20-SEP-16,01-AUG-16,31-AUG-16,,1205355.39,4971147.55,6176502.94,3683598.83,2492904.11,0,0,5428268.67,7921172.78,5428268.67,0,4971147.55,0,0,0,4971147.55,0,0,0,0,0,0,0,0,0,4971147.55,3680331.93,0,0,0,0,0,0,3266.9,0,0,3266.9,0,3683598.83,0,0,0,7932369.42,239,5000,0,7937608.42,0,0,0,0,0,0,0,0,0,7937608.42,5428268.67,0,0,0,0,0,0,16435.64,0,0,16435.64,0,5444704.31,0,"MCCAULEY, MIKE",20-SEP-16,1100868
C00605568,"GARY JOHNSON 2016","10 WEST BROADWAY STE 202","","SALT LAKE CITY","UT","84101","P20002671","JOHNSON, GARY",2016,"M10",,N,20-OCT-16,01-SEP-16,30-SEP-16,,2599349.13,2635786.95,5235136.08,4017873.11,1217262.97,0,0,9432141.78,10158746.15,9432141.78,0,2131128.35,0,0,0,2131128.35,490658.6,0,0,0,14000,0,0,14000,0,2635786.95,4017873.11,0,0,0,0,0,0,0,0,0,0,0,4017873.11,0,0,0,10169942.79,239,5000,0,10175181.79,490658.6,0,0,0,14000,0,0,14000,0,10679840.39,9446141.78,0,0,0,0,0,0,16435.64,0,0,16435.64,0,9462577.42,0,"MCCAULEY, MIKE",20-OCT-16,1112281
